ВОР;ВОР_факт;ВОР_остаток;Ед_изм;%_выполнения_ВОР;Осталось_дней_прогноз;ЛОТ_ID;Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД
5;;;шт;;;;0%;60 д;12.01.27;12.03.27;04.08.27;02.10.27;60 д;;;5;СМР;45;779;42НН;94;НД;Герметизатор проема ALUTECH;;;5;
5;;;шт;;;;0%;60 д;12.01.27;12.03.27;04.08.27;02.10.27;60 д;;;5;СМР;46;780;42НН;94;НД;Направляющие для колес (колесоотбойники наружные) ALUTECH;;;5;
;;;;;;;0%;93 д;03.11.26;03.02.27;26.05.27;26.08.27;93 д;;;4;СМР;47;781;;;НД;ОКНА;ЛОТ №12;;4;
;;;;;;;0%;93 д;03.11.26;03.02.27;26.05.27;26.08.27;93 д;;;5;СМР;48;782;;;НД;Наружные;12.1;;4;
1100;;;м2;;;;0%;93 д;03.11.26;03.02.27;26.05.27;26.08.27;93 д;;;6;СМР;49;783;29ОН-78 д;94;НД;Наружные оконные блоки с ламинацией;;;5;
;;;;;;;0%;78 д;19.11.26;04.02.27;11.06.27;27.08.27;78 д;;;4;СМР;50;786;;;НД;ВИТРАЖИ;ЛОТ №13;;4;
;;;;;;;0%;78 д;19.11.26;04.02.27;11.06.27;27.08.27;78 д;;;5;СМР;51;787;;;НД;Наружные;13.1;;4;
600;;;м2;;;;0%;78 д;19.11.26;04.02.27;11.06.27;27.08.27;78 д;Не передан фронт работ;;6;СМР;52;788;29ОН-62 д;94;НД;Наружные витражи;;;5;
600;;;м2;;;;0%;78 д;19.11.26;04.02.27;11.06.27;27.08.27;78 д;Не передан фронт работ;;6;СМР;53;789;29ОН-62 д;94;НД;Наружные двери алюминевые 1200*2100мм;;;5;
600;;;м2;;;;0%;78 д;19.11.26;04.02.27;11.06.27;27.08.27;78 д;;;6;СМР;54;790;29ОН-62 д;94;НД;Наружный витраж с дверью на АБК 2100*2500мм (входные двери на Base);;;5;
400;;;м2;;;;0%;78 д;19.11.26;04.02.27;11.06.27;27.08.27;78 д;;;5;СМР;55;791;29ОН-62 д;94;НД;Внутренние;13.2;;4;
;;;;;;;0%;45 д;12.01.27;25.02.27;04.08.27;17.09.27;45 д;;;4;СМР;56;792;;;НД;ДВЕРИ, РАСПАШНЫЕ ВОРОТА;ЛОТ №14;;4;
;;;;;;;0%;45 д;12.01.27;25.02.27;04.08.27;17.09.27;45 д;;;5;СМР;57;793;;;НД;Наружные;14.1;;4;
35;;;шт;;;;0%;45 д;12.01.27;25.02.27;04.08.27;17.09.27;45 д;Не передан фронт работ;;6;СМР;58;794;29ОН-8 д;94;НД;Наружные двери металлические утепленные 2080*1670мм;;;5;
35;;;шт;;;;0%;45 д;12.01.27;25.02.27;04.08.27;17.09.27;45 д;Не передан фронт работ;;6;СМР;59;795;29ОН-8 д;94;НД;Наружные двери металлические утепленные 2080*1260мм;;;5;
;;;;;;;0%;45 д;12.01.27;25.02.27;04.08.27;17.09.27;45 д;;;5;СМР;60;796;;;НД;Внутренние;14.2;;4;
60;;;шт;;;;0%;45 д;12.01.27;25.02.27;04.08.27;17.09.27;45 д;;;6;СМР;61;797;29ОН-8 д;;НД;Внутренние противопожарные двери металлические 2080*970мм;;;5;
;;;;;;;0%;32 д;04.01.27;04.02.27;27.07.27;27.08.27;32 д;;;4;СМР;62;798;;;НД;КОЗЫРЬКИ;ЛОТ №15;;4;
600;;;м2;;;;0%;32 д;04.01.27;04.02.27;27.07.27;27.08.27;32 д;Не передан фронт работ;;5;СМР;63;799;29ОН-16 д;;НД;Стеклянный козырек 2х1,2 м (две тяги, тонированное стекло триплекс 8+8);;;5;
35000;;;м2;;;;0%;90 д;01.10.26;29.12.26;23.04.27;21.07.27;90 д;;;4;СМР;64;800;14ОН-73 д;;НД;ОГНЕЗАЩИТА;ЛОТ №16;;4;
